Product,Batch no.,PO,Line,Mill,RFT-ext.,RFT-Mill,Dosing,Suggestion Side feed,HT1,HT2,HT3,HT4,HT5,Screw speed,Torque,Outlet temp,Throughput ext.(kg/h),Feed,Sep.,Rotor,Air flow,Inlet temp.,Outlet temp.,FG. temp.,Throughput mill (kg/h)
GI216PB,3B14009004,P3B140403400,3,4,/,/,0,20,30,47,83,85,81,500,45,,0,400,980,2800,65,,,,
LZ300TH,3B13361016,P3B140109200,9,9,,/,9,,39,52,80,,,500,38,,83.33333333,10,1360,3645,60,,,,237.397944
S18001FN,3B14003007,P3B140109800,1,2,/,/,0,14,31,51,80,79,85,650,38,,1260,600,330,2600,98,,,,918.8155378
YN210PA,3B13359014,P3B140202500,3,4,/,/,0,15,30,49,81,85,80,650,32,,,,,,,,,,119.8117899
M04035AN,3B14008027,P3B140205100,7,10,/,/,0,30,32,52,81,83,79,650,54,,1050,600,400,2800,98,,,,700
R50552AN,3B14002012,P3B140302700,2,3,,/,0,,,,,,,,,,400.0444494,400,1400,2800,65,,,,94.17181124
M90067AN,3B14003001,P3B140302800,11,14,,/,0,18,30,51,80,80,100,650,42,,552,7,1140,3757,60,,,,0
M04006AN,3B14008030,P3B140305300,7,10,/,/,0,,,,,,,,,,1008,600,400,2800,98,,,,740
S98053DN,3B14011001,P3B140305600,10,12,/,/,15,100,,60,,,,300,50,,420,400,1250,3000,65,,,,101.4351547
P70811BN,3B14009014,P3B140700400,11,14,/,,0,,,,,,,,,,465.1162791,7,1000,3757,60,,,,408.1632653
S91467BN,3B14010006,P3B140700600,10,12,,/,0,,,,,,,,,,733.0909091,500,1080,2950,65,,,,247.9670908
MZ308TH,3B14007014,P3B140204400,8,13,/,/,0,14,30,49,60,78,84,650,47,,320.0142229,10,900,3645,60,,,,233.3333333
P50565WN,3B14008005,P3B140204500,2,3,,,0,25,30,48,56,79,82,650,45,,0,500,770,2800,65,,,,
SI318TH,3B14004010,P3B140303200,3,4,,,0,,,,,,,,,,120.2368301,400,9960,2800,65,,,,
SZ309TH,3B14004008,P3B140204200,9,9,/,/,10,,38,58,80,,,500,49,,0,10,1250,3645,60,,,,0
GD000TH,3B14008016,P3B140204600,10,12,,,0,,,,,,,,,,0,500,1350,3000,65,,,,59.77358491
MN232PA,3B14009001,P3B140205200,1,2,/,,0,,,,,,,,,,720,500,420,2800,98,,,,0
P91469AN,3B14007003,P3B140303800,2,3,,/,0,25,30,51,80,82,79,650,52,,0,500,1000,2950,65,,,,0
MN302TH,3B14007011,P3B140304400,2,3,,/,0,15,30,47,60,80,79,650,36,,0,400,1170,2800,65,,,,0
Y5223PB,3B14009008,P3B140403700,3,4,,/,0,15,30,49,79,80,79,500,35,,145.8915595,400,1120,2800,65,,,,
GA203PB,3B14011007,P3B140405200,10,12,,/,16,100,,83,,,,3OO,50,,1040,500,1350,3000,65,,,,0
P00502BN,3B14009021,P3B140600600,7,10,/,/,0,22,31,50,82,84,83,650,52,,1008,600,320,2800,98,,,,685.71
S00007BN,3B14010015,P3B140600800,7,10,/,,0,18,31,51,82,84,83,650,47,,1080.600334,600,400,2800,98,,,,109.5008052
GI215PB,3B14009006,P3B141100100,3,4,/,/,0,20,30,50,79,81,80,650,47,,86.50380457,400,980,3000,65,,,,
JN195V,3B13355021,P3B140107700,1,2,,,0,10,33,53,84,82,83,650,46,,657.3913043,400,450,2600,98,,,,1017.857143
GZ300TH,3B13359008,P3B140108400,9,9,/,/,12,,38,64,78,,,500,47,,108.6486486,10,1060,3645,60,,,,
